drop,network_model,avg_k,var_k,avg_cc,var_cc,avg_spl,shannon_entr
0,erdosrenyi,4.192622950819672,3.655519349637195,0.004187809003382774,0.0005352440090110813,4.484647944101051,2.914556535603601
1,erdosrenyi,4.0,3.557377049180328,0.006485818371064273,0.0025996187938382175,4.62930831765654,2.8764173938089597
2,erdosrenyi,4.262833675564682,3.9350252351698582,0.005100876764121118,0.0007718017435661013,4.435655587365974,2.96480101453377
3,erdosrenyi,4.032586558044806,3.742318971631941,0.0033572560049138457,0.0004954473979476641,4.605099530863069,2.906302565744846
4,erdosrenyi,4.081632653061225,3.662723865056227,0.0020050357805459847,0.0002103270253915007,4.579616826322366,2.8808400408041517
5,erdosrenyi,4.069246435845214,3.3394004504710035,0.00477160314227524,0.0025799076327796076,4.603838543891886,2.8532781535347898
6,erdosrenyi,4.324435318275154,3.763324886473358,0.007494718377675257,0.002841813247431912,4.406638304331508,2.9545312495573666
7,erdosrenyi,4.236734693877551,4.082732194918784,0.008184321347586655,0.0028023935841169734,4.467122032486461,2.973426399386489
8,erdosrenyi,4.093306288032454,4.023748297668371,0.006453699557147833,0.0026749674773705492,4.55196277293879,2.9318912661829004
9,erdosrenyi,4.1687242798353905,3.868651458957814,0.00940979459497978,0.0011978759480707568,4.523683720300091,2.9271224076904936
10,erdosrenyi,3.9257731958762885,3.829541927941332,0.00911768643727407,0.004717195729585082,4.6902752683600815,2.8662631364912894
11,erdosrenyi,4.012195121951219,3.7396886773745788,0.0076351042814457445,0.0031961009709384125,4.628676713596406,2.893831290369547
12,erdosrenyi,4.0772357723577235,3.941189107013021,0.004424764485740096,0.0006066786619160214,4.555852997554366,2.9488501534350675
13,erdosrenyi,4.209677419354839,3.927809573361083,0.013224846390168968,0.0053904869240868495,4.488293444328824,2.9642136964576484
14,erdosrenyi,4.184426229508197,4.347134506852997,0.010856811676483807,0.003744935577401015,4.440229441010484,2.996239635455871
15,erdosrenyi,4.255578093306288,3.9225094528263846,0.017722428574355555,0.007802956279011265,4.462951915045939,2.9595101578448353
16,erdosrenyi,4.093686354378819,3.962709628714001,0.006190799469821873,0.0008604906455767092,4.560575076426598,2.942410204103529
17,erdosrenyi,4.171779141104294,3.6064837467223705,0.009122926607589184,0.003218458180266716,4.529397250764257,2.88795969177127
18,erdosrenyi,4.155102040816327,3.7432902957101213,0.005476190476190476,0.0007496671911394944,4.514702207413577,2.9124535764141704
19,erdosrenyi,4.049281314168378,3.5868937340040223,0.01017241941266582,0.004671156202759444,4.623277072467313,2.897463481206995
20,erdosrenyi,4.157575757575757,4.193351698806244,0.00691328873147055,0.0015796953019632392,4.504707682889501,2.971471846275045
21,erdosrenyi,4.172484599589322,3.5636782210153943,0.008308073400475863,0.0031407050129694967,4.530727034308867,2.901458234640799
22,erdosrenyi,4.165991902834008,4.004835352161158,0.008164642375168691,0.0011202395260972876,4.546116146798016,2.9675044463900955
23,erdosrenyi,3.9382716049382718,3.584666971498247,0.007402508328434255,0.0012509616470567182,4.7047790817795345,2.8778800132651097
24,erdosrenyi,3.8565573770491803,3.401555361461973,0.004306531355711683,0.000446040502756887,4.7822409970438065,2.847728190802577
25,erdosrenyi,4.044989775051125,3.7689370653351233,0.006813386567987795,0.0011027677280317655,4.617770919325363,2.9279725255030544
26,erdosrenyi,4.159183673469387,3.5542523948354856,0.004057337220602527,0.0006267692300669628,4.52631403581841,2.8998541213341023
27,erdosrenyi,4.097560975609756,3.8563355145746576,0.008240314337875313,0.0014271554631565047,4.550540352964501,2.920228102258376
28,erdosrenyi,4.044715447154472,3.4817403661841495,0.006176603432700993,0.00112633290326606,4.6320477229162575,2.879660374294116
29,erdosrenyi,4.16969696969697,3.7530211202938477,0.0052156485489818815,0.002217528273463285,4.519612284460768,2.934785853329847
30,erdosrenyi,3.9715447154471546,3.7187024919029676,0.0038258602282992523,0.0005323566171104809,4.660122942692839,2.9069274785706027
31,spatial_voronoi,5.916,1.7929439999999996,0.43842539682539683,0.016486736548248927,8.108968000000008,2.424637781207174
32,spatial_voronoi,5.9,1.9940000000000004,0.44559826839826844,0.019967750104300058,8.442496000000004,2.484262318855769
33,spatial_voronoi,5.924,1.8342239999999996,0.43759191919191914,0.015872278002786056,8.012824000000004,2.4279924731545344
34,spatial_voronoi,5.912,1.736256,0.4375825396825397,0.01597027002015621,8.44008,2.40423595913288
35,spatial_voronoi,5.924,1.8262239999999998,0.43961572871572874,0.01728302153947223,8.039192,2.4386117576306297
36,spatial_voronoi,5.912,1.988256,0.44592712842712845,0.020559086387998724,8.220295999999992,2.500151977841022
37,spatial_voronoi,5.92,1.8736,0.4421411255411255,0.018959528214655307,8.293687999999998,2.471104337618391
38,spatial_voronoi,5.912,1.9722559999999998,0.44092063492063494,0.01729204441029549,8.134615999999998,2.4740252871612185
39,spatial_voronoi,5.94,1.9484,0.44569682539682537,0.021198594051398338,7.7748639999999964,2.490797636109612
40,spatial_voronoi,5.908,1.867536,0.4422031746031746,0.01844090515495087,8.292216000000002,2.4658156775292235
41,spatial_voronoi,5.932,1.779376,0.4364904761904762,0.015468113829680018,7.958352000000004,2.4157818983820762
